Timestamp;Berapa usia Anda?;Apa status Anda saat ini?;Berapa rata-rata penghasilan/uang saku Anda per bulan?;Seberapa sering Anda mencatat pengeluaran?;Jika Anda mencatat pengeluaran, alat apa yang saat ini Anda gunakan? (Pilih salah satu yang paling sering);Apakah Anda memiliki anggaran (budget) bulanan?;Berapa persen penghasilan Anda yang biasanya habis tiap bulan?;Kategori pengeluaran terbesar Anda biasanya untuk apa?;Seberapa sering Anda melakukan pembelian impulsif (tidak direncanakan)?;Seberapa sering Anda kehabisan uang sebelum akhir bulan?;Apakah Anda merasa kesulitan mengontrol pengeluaran?;Apa penyebab utama Anda mengalami pengeluaran berlebih? (Boleh pilih lebih dari satu);Seberapa sering Anda menabung setiap bulan?;Apakah Anda memiliki dana darurat?;Seberapa sering Anda menggunakan layanan Paylater atau Pinjaman Online (Pinjol) untuk transaksi konsumtif?;Apakah Anda mengetahui kondisi keuangan Anda hingga akhir bulan (apakah akan cukup atau tidak)?;Seberapa tertarik Anda dengan fitur yang dapat memprediksi sisa uang hingga akhir bulan?;Seberapa berguna menurut Anda fitur peringatan dini saat pengeluaran hampir melebihi budget?;Apakah Anda memiliki kebiasaan menyimpan atau meminta struk fisik setelah berbelanja? (Untuk validasi fitur pembaca struk/OCR);Apakah Anda tertarik menggunakan aplikasi berbasis AI untuk membantu mengelola keuangan dan memberikan rekomendasi menabung?;Apa kesulitan terbesar Anda dalam mengelola keuangan? (Jawaban singkat/Paragraf)
4/12/2026 18:45:05;18–20 tahun;Mahasiswa;< Rp1.000.000;3;Aplikasi pencatat keuangan (Monefy, Wallet, dsb);Tidak punya;< 50%;Transportasi;2;2;Tidak;Kurang disiplin mencatat keuangan;2;Tidak punya;1;1;4;4;Tidak, saya biarkan atau langsung dibuang;4;Sulit mengkategorikan pengeluaran menjadi satu kategori untuk melihat pengeluaran mana yang paling berdampak berdasarkan data alih² perasaan
4/12/2026 18:50:21;18–20 tahun;Mahasiswa;< Rp1.000.000;2;Kertas / Buku catatan fisik;Ya, tapi sering tidak konsisten;50–75%;Belanja online;4;2;Tidak;Tergoda promo / diskon;4;Ya (> 3 bulan pengeluaran);1;3;4;4;Ya, selalu saya simpan / kumpulkan;3;disiplin menanbung, menjaga konsistensi antara rencana dan realisasi.
4/12/2026 18:51:10;21–25 tahun;Mahasiswa;< Rp1.000.000;2;Kertas / Buku catatan fisik;Tidak punya;50–75%;Makanan & minuman;4;3;Ya;Pembelian impulsif / lapar mata, Tergoda promo / diskon, Kondisi darurat yang tidak terduga, Kurang disiplin mencatat keuangan;3;Ya (> 3 bulan pengeluaran);1;1;4;4;Kadang-kadang, jika ingat saja;4;Kesulitan dalam mencatat pengeluaran karena sering lupa, hanya ditulis jika ingat saja
4/12/2026 18:53:16;21–25 tahun;Mahasiswa;Rp1.000.000 – Rp2.500.000;2;Spreadsheet (Excel / Google Sheets);Ya, tapi sering tidak konsisten;75–100%;Hiburan (nongkrong, layanan streaming, hobi, dll);2;2;Ya;Tergoda promo / diskon, Kondisi darurat yang tidak terduga, Kurang disiplin mencatat keuangan;3;Ya (> 3 bulan pengeluaran);1;3;3;4;Ya, selalu saya simpan / kumpulkan;4;malas mencatat pengeluaran
4/12/2026 18:58:08;21–25 tahun;Mahasiswa;< Rp1.000.000;1;Hanya diingat / Tidak dicatat;Ya, tapi sering tidak konsisten;< 50%;Belanja online;4;4;Ya;Tidak memiliki budget, Tergoda promo / diskon;3;Ya (> 3 bulan pengeluaran);1;3;4;4;Ya, selalu saya simpan / kumpulkan;4;Selalu tergoda kalo ada diskon
4/12/2026 18:59:43;18–20 tahun;Mahasiswa;< Rp1.000.000;1;Hanya diingat / Tidak dicatat;Ya, tapi sering tidak konsisten;75–100%;Belanja online;4;2;Tidak;Pembelian impulsif / lapar mata, Kurang disiplin mencatat keuangan;1;Tidak punya;1;4;3;2;Tidak, saya biarkan atau langsung dibuang;3;sering merasa pemasukan tidak sebesar pengeluaran😊
4/12/2026 19:01:29;21–25 tahun;Mahasiswa;Rp2.500.000 – Rp5.000.000;2;Aplikasi pencatat keuangan (Monefy, Wallet, dsb);Ya, tapi sering tidak konsisten;50–75%;Hiburan (nongkrong, layanan streaming, hobi, dll);4;4;Tidak;Tidak memiliki budget, Pembelian impulsif / lapar mata, Tergoda promo / diskon;3;Ya (> 3 bulan pengeluaran);1;4;4;2;Ya, selalu saya simpan / kumpulkan;3;uangnya kurang😭☝🏻 doain rejeki lancar🤲🏻🤗
4/12/2026 19:02:00;18–20 tahun;Pekerja (≤ 2 tahun pengalaman);Rp2.500.000 – Rp5.000.000;4;Kertas / Buku catatan fisik;Ya, tapi sering tidak konsisten;75–100%;Lainnya;3;3;Ya;Pembelian impulsif / lapar mata;2;Ya (< 3 bulan pengeluaran);1;4;3;3;Ya, selalu saya simpan / kumpulkan;2;tidak membuat anggaran bulanan, gagal menyisihkan dana darurat, belanja impulsif,serta tidak membedakan kebutuhan dan keinginan
4/12/2026 19:04:13;21–25 tahun;Mahasiswa;< Rp1.000.000;1;Hanya diingat / Tidak dicatat;Ya, tapi sering tidak konsisten;< 50%;Hiburan (nongkrong, layanan streaming, hobi, dll);2;3;Tidak;Tidak memiliki budget, Pembelian impulsif / lapar mata, Tuntutan sosial / FOMO (Fear of Missing Out);3;Tidak punya;1;4;4;4;Kadang-kadang, jika ingat saja;4;kurang kaya
4/12/2026 19:04:37;18–20 tahun;Mahasiswa;Rp1.000.000 – Rp2.500.000;3;Aplikasi pencatat keuangan (Monefy, Wallet, dsb);Tidak punya;75–100%;Makanan & minuman;3;2;Ya;Tidak memiliki budget, Pembelian impulsif / lapar mata, Tuntutan sosial / FOMO (Fear of Missing Out);2;Ya (< 3 bulan pengeluaran);1;2;4;4;Tidak, saya biarkan atau langsung dibuang;4;Merasa kesulitan untuk menahan diri dalam membelanjakan uang untuk sesuatu, khususnya makanan, minuman, dan make up
